Date,Price,Return
05/10/2024,"8.988,00","0,03"
06/10/2024,"12.179,00","0,36"
07/10/2024,"13.491,00","0,11"
09/10/2024,"10.810,00","-0,20"
10/10/2024,"13.481,00","0,25"
12/10/2024,"13.507,00","0,00"
01/11/2024,"5.482,00","-0,59"
03/11/2024,"8.577,00","0,56"
04/11/2024,"9.062,00","0,06"
06/11/2024,"12.091,00","0,33"
07/11/2024,"12.740,00","0,05"
09/11/2024,"11.691,00","-0,08"
10/11/2024,"13.480,00","0,15"
11/11/2024,"14.526,00","0,08"
12/11/2024,"13.931,00","-0,04"
01/12/2024,"5.471,00","-0,61"
02/12/2024,"7.225,00","0,32"
03/12/2024,"9.191,00","0,27"
04/12/2024,"8.819,00","-0,04"
06/12/2024,"12.520,00","0,42"
07/12/2024,"12.924,00","0,03"
08/12/2024,"10.902,00","-0,16"
09/12/2024,"11.914,00","0,09"
11/12/2024,"14.829,00","0,24"
12/12/2024,"13.734,00","-0,07"
04/01/2025,"11.015,00","-0,20"
05/01/2025,"11.161,00","0,01"
07/01/2025,"15.330,00","0,37"
08/01/2025,"17.372,00","0,13"
10/01/2025,"18.724,00","0,08"
12/01/2025,"17.992,00","-0,04"
01/02/2025,"13.831,00","-0,23"
04/02/2025,"11.042,00","-0,20"
05/02/2025,"11.450,00","0,04"
06/02/2025,"13.738,00","0,20"
07/02/2025,"15.725,00","0,14"
09/02/2025,"17.078,00","0,09"
10/02/2025,"18.889,00","0,11"
12/02/2025,"18.146,00","-0,04"
01/03/2025,"14.447,00","-0,20"
02/03/2025,"11.666,00","-0,19"
03/03/2025,"11.406,00","-0,02"
04/03/2025,"10.180,00","-0,11"
06/03/2025,"14.122,00","0,39"
07/03/2025,"15.934,00","0,13"
09/03/2025,"17.062,00","0,07"
10/03/2025,"18.762,00","0,10"
11/03/2025,"20.688,00","0,10"
12/03/2025,"17.959,00","-0,13"
02/04/2025,"11.865,00","-0,34"
03/04/2025,"11.599,00","-0,02"
04/04/2025,"9.431,00","-0,19"
06/04/2025,"14.192,00","0,50"
08/04/2025,"18.000,00","0,27"
09/04/2025,"17.166,00","-0,05"
11/04/2025,"19.869,00","0,16"
12/04/2025,"18.338,00","-0,08"
02/05/2025,"12.483,00","-0,32"
03/05/2025,"11.730,00","-0,06"
05/05/2025,"11.382,00","-0,03"
06/05/2025,"13.999,00","0,23"
08/05/2025,"17.826,00","0,27"
09/05/2025,"16.702,00","-0,06"
11/05/2025,"19.521,00","0,17"
12/05/2025,"18.241,00","-0,07"
01/06/2025,"14.943,00","-0,18"
02/06/2025,"12.868,00","-0,14"
03/06/2025,"11.057,00","-0,14"
05/06/2025,"11.354,00","0,03"
